protein1	protein2
DAXX	PRMT1
EIF3A	TOMM40
RIPK1	IKBKG
HSPA5	NUP62
ERO1A	HSPBP1
BRCA1	SUZ12
NEDD4L	FBXL15
PSMD10	NCK2
ADRB2	KRT9
MAPK1	EIF4EBP1
DSP	PSEN1
CALM1	CLIP1
NR1I2	RXRB
HUWE1	HSP90AB1
PTGES3	TRAF6
CSNK1E	PSEN2
MYD88	SMAD3
RPA2	DSP
TAOK2	MAP2K3
FN1	EIF4A3
HIST1H4K	KDM4A
WRN	VCP
XPO1	STAT1
CUL3	AMOT
GADD45B	CDK1
TLN1	UBAP2L
POT1	PCMT1
SRPK1	PDPK1
BCL2L11	MCL1
PIAS4	IRF3
GNAI2	NCL
SDHA	NDUFV2
MNAT1	GTF2H3
ROR2	PITX1
ANXA11	MIF
MAPK8	H2AFX
PPP1CB	ABLIM1
STAT1	CAND1
CAND1	HIST1H4D
TAF7	ETV4
NDUFA6	TBPL1
CSNK2A1	EIF2S1
CDKN2C	RIF1
ITGAV	TGFB1
PCM1	SUPT5H
GTF2F1	KLF5
DDX39B	PIAS2
TP63	UBE4B
SIRT1	SMAD7
CREB3	AQP5
WDR5	MBIP
ATP5F1C	ATP5MF
CUL4B	DOCK9
HIF1A	BCR
VCL	TUBB3
PSMD14	CERS2
HDAC1	GLI3
FBXW7	FBXW7
SMURF1	TUBB
PPARD	RELA
NOTCH1	ANAPC7
ACIN1	TRMT112
CD81	SET
NCBP1	SNRNP70
PXN	DPY30
CPSF2	SMARCC1
MAP3K1	DNAJB6
AMFR	MGRN1
VCAM1	NCL
CUL1	TRA2B
WWOX	RARA
BRAF	CCDC88A
SENP1	PARP1
PAK1	ZBTB18
H2AFX	PPM1G
FLNA	YWHAG
YWHAB	NCKAP1
AR	MDM2
ATM	SMC3
PPP1CC	TUBB
CEP68	SKP1
TBL1X	CTNNB1
MAGOH	SNRNP200
UGT2B4	HSD17B8
DVL1	CTNNB1
PIAS2	NR3C1
SMAD3	PJA1
POLK	UBE2V2
COMT	EXO1
CREB1	SRF
RAD18	LIN7C
RPA1	SF3B1
DSP	IKBKE
DHX9	MAP3K14
ERCC2	CDK1
RCAN1	TRAF6
MSH2	IKBKG
EIF3A	MYH11
HCK	LNPK
NDUFS8	PHB2
PIK3CA	STAT1
TRAF3	BIRC2
GHR	PTPN9
SRPK2	EED
TCF7L2	TSC1
ALOX5	MAPK1
EIF4E	PABPC1
SIRT1	HSPA5
DVL2	TNFAIP1
USF2	TEAD2
TGFBR1	TGFB1
POT1	HSP90AB1
RIPK1	BIRC2
MYH9	IKBKE
HAUS2	HDAC1
CD274	COG7
XBP1	XBP1
MYC	KPNB1
KAT2B	TAF6L
DACH1	JUN
FBXW11	BTG2
CDK2	MRTFA
MCL1	HSPA8
TIA1	PCBP2
FN1	RBM14
F3	F3
TERF2IP	SP100
GIPC1	PRKCA
LYST	PCBP4
SF1	HNRNPH1
SHC1	TPR
TERF2	THRAP3
NCBP1	SART1
CDK5	BAG6
S100A4	BRD1
PAWR	SLC5A1
BCAR1	PTPN1
PPP1CA	SKP2
MYC	EP300
MAPK14	EGFR
SYNCRIP	RACGAP1
RNF2	PIK3C3
CDK2	ABLIM1
SUMO2	MTA2
TFDP1	CREBBP
MAPKAPK2	ETV1
PTGES3	DNAJC7
MCM2	TPP1
STK4	ERC1
EZH2	MAGOH
ADRB2	RNF41
CDH1	ACTN4
LCMT1	PPP2CB
CUL3	CUL4B
HNRNPK	TP53
MCM2	TARDBP
TSC22D4	TBL1XR1
RNF168	H2AFX
INSR	SOCS3
VPS72	PRMT1
SMC2	SIN3A
EGFR	PTPRS
UBAP2L	YBX1
SCMH1	TMEM11
TERF2	LLGL1
CIRBP	PRPF31
MOV10	THOC7
ZRANB1	CBX8
GEM	TFAP4
DPY30	PNPT1
AKT2	TSC2
RRM1	IKBKE
ADRB2	SLC39A14
TRIM24	CBX8
XPO1	PAF1
NDUFA6	NDUFS4
UBE2E1	ARIH2
CTBP1	FOXP2
VCAM1	RPS19
SDHA	DNAJA3
MMP7	SERPINA1
XBP1	KAT2A
STAT3	STAT6
PXN	ADAM10
NDRG1	RPS26
HSP90AA1	OGT
EGFR	MAP2K1
SUZ12	LUC7L3
SLC25A22	TNFRSF14
CDKN2B	ZBTB17
CALR	PCNA
ITGB1	VCL
VIM	KAT7
PTK2	TNFRSF1A
RNF2	THOC6
FOXO3	MIER1
PPP1CB	CDKN2A
FBXW11	GLI3
MCC	SNRNP200
VPS18	EEA1
CAT	STIM1
KAT7	BRPF3
HSP90AA1	DAPK3
CD81	STX1A
AMFR	AIFM1
SART1	SNW1
HDAC7	TBL1XR1
UBE2I	HNRNPLL
AGER	HMGB1
DNAJC5	STUB1
SYNCRIP	HNRNPAB
HSP90AA1	CDKN1A
TFAP4	HMGB2
CD81	NPM1
FHL2	DEAF1
BAG6	USP15
WDR77	SMARCA4
FOS	PPP5C
VCAM1	HIST1H4A
ICAM1	RPS14
ATF2	ANXA3
COPS5	FBXO31
CYLD	MIB2
UBE2E3	MID1
RPA2	EGFR
TRAF6	IRAK4
COPS5	PRDX2
RARA	MED1
COL1A2	CD44
PAXIP1	UIMC1
TRIM32	UBQLN1
FER	ERBB3
ARRB2	TUBB3
SRSF9	THOC1
KDM5B	SMARCC2
EIF2AK2	DHX9
WDR5	MTA2
EHMT2	MTA2
VHL	DVL2
CHUK	CRYAB
EPHA2	VPS4B
HDAC6	CLIP1
HGF	PLAU
RPS6KB2	HNRNPU
POU5F1	PPIA
UCHL5	HIST1H4F
RELA	VCAM1
TP63	BRD8
H2AFX	ANXA6
CUL1	MDM2
CHUK	PRKCI
WWOX	PTPN14
PPP2CB	MAP4K4
ATXN2	SUMO3
VHL	PRKCD
ARHGDIA	EIF2B1
MAPK9	SHMT1
CUL4B	CAND1
CCNE1	RHOBTB3
AHR	MAF
HNRNPU	HNRNPAB
2-Mar	UBE2H
RBM25	SRSF1
PLEC	NCAPH
MYC	MYC
PRKDC	RPA2
ILK	LPCAT1
FBXO6	EDEM3
