protein1	protein2
PAXIP1	CLU
SNCA	CDC42EP2
PRKAR1A	PRKACA
STUB1	CCT5
CALM1	RAD23B
XIAP	ACVR1B
BMP4	BMPR1A
MYC	PIN1
CEBPB	CAMK2G
EGFR	LRP1
COPS5	ELAVL1
SON	TNFRSF1A
DNM2	MCC
PRKDC	IKBKG
TAF9	NCOA2
PPP5C	PSEN2
EID2	SMAD2
RING1	SMARCA5
CEBPB	CCL3
SHC1	KRT2
G6PD	RPE
EIF4A3	HNRNPH1
VCAM1	DDX5
BRD1	ZRANB1
CLIC1	PIP5K1B
PRKD2	MYLK
VCP	TERF2
WDR82	KMT2D
HSPA9	RELA
CAND1	PHGDH
RPA2	MYH9
KAT2B	CDKN1B
USP14	XPO1
EP300	KPNA2
ATF2	PRKCI
SGF29	ACTG1
CCNE1	SF3B1
CDK4	TGFBR1
ERN1	TAOK3
TRIP6	EGLN2
G6PD	PGLS
INSR	CALM2
FAF1	CSNK2A1
ELAVL1	SLC22A5
TADA2A	TAF12
AXIN2	RNF111
CITED2	HIF1A
TAB2	ZBTB16
ADD1	PRKACA
ELN	CLU
LRRK2	AKAP8
BAG3	CSTB
CDKN1A	DEAF1
MYC	HIF1A
APP	APBA3
TCEA1	UBR5
CDK7	INPP5K
CSNK2A1	UBTF
TBK1	TANK
SUZ12	SF1
APPL1	PIK3R2
RBBP5	KMT2A
USP4	NLK
LAMC1	APP
VCP	BTRC
CSNK2A1	BIK
XPO1	XPO7
GNAI2	RPS19
PRKACA	SMARCA5
TRAF3IP2	IL17RA
RAB7A	EGFR
ARRB1	YWHAE
XPO1	CHUK
RORA	RORA
NPM1	PLCG2
PPP1CA	DEAF1
EZH2	SON
EDA	IPO7
HUWE1	KIF13A
PSIP1	PTK2
BTRC	FZR1
NPHP1	AGK
CIRBP	THOC2
YWHAB	ARHGEF2
TINF2	HSP90AB1
CDKN2A	TRADD
SMAD2	RXRA
H2AFX	NLRP2
NCOR1	NR1H3
ARHGEF15	SH3RF1
ATP5F1C	DDOST
GRB2	SMARCC2
GLO1	IKBKG
RCN1	ENO1
EIF2B3	RTCB
C18orf32	RPS6
SULT1A1	SULT1A3
FTO	MVD
SYNCRIP	TBC1D10B
SLC9A1	UBE2I
ACIN1	FUT8
RAD23A	PSMB5
ADRB2	NDUFS2
THRA	EP300
KIFC3	MAP3K3
CREB3	RRAS2
TARDBP	USP8
VDAC3	CLTC
ADRB2	MRPL12
RASGRP4	RAP1A
MCF2	CCNE1
NLRC4	EIF2AK2
SMARCD3	JUN
FBXO6	NDUFS1
ITCH	UBE2D2
SUZ12	RBM4
CIDEA	ZBTB16
CBLB	PIK3R2
IRF3	MAVS
MAP3K1	NFKBIA
CBLC	PDGFRB
HDAC6	ERBB2
ANXA7	FAF1
PIK3R1	KIF13A
GBA	POU2F1
CUL3	RBMX
ING1	HIST1H4F
KCNQ1	PRKACG
PRMT1	HIST1H4A
RCHY1	MDM2
EMD	SNRNP200
SNW1	SRSF9
TOMM40	HSPA8
MYLK	CALM1
DYRK2	NPM1
H2AFX	SSBP1
RPA2	MEN1
ANXA1	FAF1
NRG1	SPTLC2
PRKACA	NCOA3
FBXO11	BCL6
RAB11B	RAB5C
PSME3	CDKN2A
WDR5	KAT2A
CDC42	MAPK9
CYLD	SQSTM1
ATXN1	QKI
CALM1	YBX1
PPP1CB	ACTN1
U2AF2	SCYL2
HIPK2	NKX3-1
FBXO6	TUBB
GATA2	RBX1
NOTCH4	FBXW7
FBXO6	YBX1
HSP90AA1	MYLK2
MCM2	KRT18
EGFR	PIM1
FN1	HNRNPAB
OBSL1	DDB1
MOB1A	APP
POT1	DNAJB1
DDX39A	PABPC1
TP53	PAXIP1
LCK	NFKBIA
DBN1	PIK3C2A
SIRT7	RRS1
CDKN1A	CDK5
NCK2	WASF2
STAT3	COPS5
TRIB3	RELA
CFTR	CAPRIN1
MOV10	WWP2
MORF4L1	HDAC1
MAPK1	CASP9
RNF2	ATP5F1C
TRIM21	UBE2H
ELAVL1	CELF1
CTDSP2	UBTF
MMP7	MAEA
HNRNPU	RPS26
PSMD10	SQSTM1
CRYAB	CTNNB1
RASA1	APP
CYCS	CASP9
FGR	SNCA
RPS6KB1	NR1I2
USP22	SUPT3H
ACVR1B	ACVR1
ABLIM1	APP
CDK2	KIF26B
SKI	SAV1
VCAM1	FERMT3
YWHAE	ATP5F1B
XPO1	SHROOM1
TADA3	TAF4
ACE	EGR1
ACTR5	INTS7
CPSF3	SFPQ
CUL3	CAND1
RRAGB	MTOR
HOOK2	CBX8
EED	RIF1
WWOX	PABPC1
TP73	IKBKB
MEF2A	MEF2A
OBSL1	SMARCA4
PLCB1	PRKCI
SYK	TRAF3IP2
SF3B1	UPF1
RB1	NTMT1
SMAD1	RAP2A
IKBKE	PPP2R1A
USP2	BCAR1
MID1	RPS3
MOV10	AARS
SIN3A	HSPA4
BAX	PSMC5
MAPK3	TP53
PLA2G10	HGS
MCM2	MAGOH
RASSF1	HRAS
GOPC	ATG9A
MGRN1	HTT
OBSL1	ACTN1
RAB5C	MYOF
TICAM2	TICAM2
PTPRF	CDH1
CUX1	CDK7
CUL3	HSPA1B
MCM2	HSPA8
RRM2	RRM2
NR3C1	MED14
SMARCA1	BAZ1B
MRE11	MSH2
CUL1	PCMT1
AHI1	IQCB1
POLA1	RFC3
SHC1	DDX5
PTPA	PRKCB
ACTG1	MAP3K14
BMI1	SS18L1
HSPB1	RIF1
NSD3	HIST1H4A
MAP3K4	BUB1B
AMFR	BAG6
SRSF10	RPS6
RRAS2	PAWR
WDR92	PPP3CB
CAND1	TFAM
CBX8	E2F6
MMP7	MMP9
CSNK2A1	SET
LMNA	STX5
CUL3	IPO5
SUMO2	CHAMP1
ATP5F1B	PDPK1
GRIK2	LIN7B
CRYAB	CDC23
LGR4	CDC42BPA
SNRPF	PHF5A
HMGB1	HOXB3
PIK3R2	MYH10
NF2	KDM1A
ITGA3	ITGA3
U2AF2	PPM1G
HIST4H4	ING1
HDAC5	PPP2CB
SMURF1	TRAF4
NFKB1	ATP5PF
MAP3K3	TIMM50
PPP1R12A	PFDN5
BMI1	NCBP2
CCNB1	SQSTM1
RNF8	VRK1
HNRNPH1	EIF3E
LAMB2	PIK3R2
HNRNPA1	UBR2
HDAC6	KDM1A
COTL1	IKBKE
MAPK9	TCF3
SMAD3	SQSTM1
ELK3	MAPK9
MAPK14	EIF2B2
ADA	ADORA2A
PRKCE	KLF5
MAPK8IP2	DUSP18
PHB2	GOSR1
ALG8	NAE1
TPT1	APP
YWHAB	HSPA1B
MCM4	RPS15A
FANCD2	BRCA2
LIG4	ZWINT
MYC	NCBP2
H2AFX	PIAS2
AXIN2	SMAD7
CDK1	FBXO5
ELAVL1	LAMC1
MCM4	ORC4
NEK6	PIN1
DHX9	PRPF31
THOC2	TERF1
TGFBR1	TGFBR1
BUB1B	PSMB5
FLNA	PPP1R12A
MDM2	ARIH2
MTOR	RUVBL2
FBXW11	SF3B1
ACTR5	PPM1A
RNH1	SLX4
SDCBP	CUTC
RNF2	SF3B1
JUN	NEDD4
MCC	RAB2A
TLE4	TLE4
CD55	PICALM
PAXIP1	NBN
SUMO2	CUX1
PCNA	GCK
BMI1	NCBP1
DDX54	NR3C1
HSP90AA1	ARNTL
ADRB2	RAP2C
TAF10	TAF1
PRKCI	VIM
MAP2K7	MAP2K7
CLN3	DDOST
ATM	NHEJ1
SMAD5	SKI
AKT1	RPTOR
SMAD4	SMAD5
FLNA	FLNB
CCT5	MAP3K1
HSPA1A	PRKCA
SNAP23	STX12
TFAP4	SAP130
SF3A1	CRNKL1
RAB2A	VDAC1
CDC37	DNAJC7
IRF3	TLR2
CIRBP	ACIN1
DYNLT1	CUL4B
MYH9	GNAI2
SCNN1B	SERP1
IKBKB	PPP1CA
PIM1	NUMA1
DHX9	EIF4A3
WDR5	TAF1
PIN1	AATF
AKT1	PICK1
UBE2D2	BFAR
ERCC3	GTF2H1
NDEL1	KATNA1
HSP90AA1	BMPR1A
COL1A2	APP
ATR	AP3B1
PSIP1	CASP3
APP	PES1
CTNNB1	ARHGEF4
PLA2G10	CRIPAK
UHRF2	UBE2D1
CDKN2A	BECN1
TBK1	APP
CAND1	IPO7
SFPQ	SP3
TRIM24	HIST1H4H
FOS	YEATS4
PRPF6	XAB2
HSP90AB1	ASH2L
UBE2I	HDAC1
FOXO3	FKBP4
TRA2A	CLK1
CHUK	CALM3
AKAP8	CASP3
UCHL5	PSMC4
RXRB	NRIP1
HNRNPA1	MAGOH
AKT2	HTRA2
NUP214	SMAD2
RAD23A	XRCC5
ING1	PCNA
TNIK	RAP2A
COPS5	COPS5
SMARCD3	UPF2
MYH9	UACA
ATP5F1A	HSPA1A
TP53	ARHGEF17
HSP90AA1	PRMT5
SIRT1	HSPA9
HSPA1A	NFKB1
PRKCA	SYK
HNRNPF	SRSF1
ATP5MG	STX12
BMI1	CBX8
EGFR	ARHGEF2
TSC1	FRS3
NCAPH	HECTD3
AMOT	YAP1
ATP6AP2	ATP6V0D1
HSPD1	KRAS
CREBBP	KPNA2
MAP3K3	ACTN4
HSD17B4	ACADM
MYC	IPO13
DHX9	ATP5F1C
ENO1	AARS
APC	ATP5F1B
CDK6	RAB4A
CEP152	GSDMA
PIN1	SSBP3
TCF3	ID4
GTF2H3	ERCC2
EED	HSP90AB1
MSH2	JUP
GOSR1	YKT6
UBE2H	EPS15
UBE2G1	UBE2G1
NPR2	NPR2
RAD1	COPS5
RAB5A	RAB5C
THAP1	HNRNPLL
PTK2	TP53
TBK1	IRF3
USP2	PCNA
TP53	UBD
TRIP6	THRAP3
CDK4	SMAD3
ARIH2	PML
DNAJA1	TXN
SUFU	MID1IP1
TGFBR1	HSPA4
SF3B1	RBM25
ARRB1	YWHAG
BRD7	HIST1H4I
PYGO2	RBBP5
PPP1CA	TCF4
DISC1	DCTN2
RBM25	THOC5
CRYAB	SEH1L
SQSTM1	STXBP1
BRCA1	RB1
MAVS	PCBP2
KAT2B	HDAC3
SRSF1	CXCL1
CDH1	GNA12
CREB1	HIPK3
IKBKG	ANXA1
EED	U2AF2
CDK2	HCFC1
NUMB	LNX2
CDK2	MCM4
TRAF5	TRAF5
CD40	RNF31
WDR77	EIF2B4
ATF2	DDOST
SP100	SUMO1
GSK3B	NFKB1
ZBTB16	ZBTB16
STK4	SAV1
CPSF6	USP21
USP14	XPO7
NCOA6	NPM1
P2RY12	LGALS3
SIN3A	RUNX1
CD55	TIMM50
PRPF19	USP4
FBXO6	LAMC1
SOAT1	STAT1
RPS6KA5	ATF2
PEAR1	SYK
HSPB1	WWP1
BNIPL	NME2
CSTB	CTSH
CD47	ITGB1
AKT1	ZFP36L1
CD81	ATP5F1A
BLM	ATRX
HSD17B12	HSP90B1
HSF1	TAF1
PPP2R1A	INTS9
HNRNPU	AATF
GRB2	SNTA1
EMD	HDAC1
TMEM173	TSPAN6
EPC1	E2F6
JUN	JUN
HDAC5	CTBP1
CSNK2A1	PTPN1
RPS13	RPS3
FN1	SF1
POLL	REV1
BTRC	HSPB1
PSEN1	FLNB
TBXA2R	PSME3
HNRNPK	TPM4
GNAI2	RPS13
PIN1	DEAF1
VCL	SORBS3
AKT2	TMED2
TRAF6	STRADB
CDK2	RPS3A
MAP3K4	MAP2K6
CRNKL1	DDX39B
ARHGAP5	RND1
VAPA	VDAC3
SNCA	CLTC
LRSAM1	RNF111
CDK2	MYOF
SHC1	EPHA2
HGS	NF2
AMFR	AMFR
FLNB	FLNB
H2AFX	EIF2S2
PIN1	XRCC6
HSPD1	HSPA1A
ADRB2	KRT1
CDC37	SMYD3
CPSF3	P4HA1
DYRK2	APP
CDK2	PHB
GTF2H2	ERCC5
ID3	TCF4
CFTR	XPO1
HSP90AA1	RALBP1
GTF2H1	ERCC1
PIAS3	GRB2
SIRT1	XRCC6
USP8	CHMP1A
CDK2	MYH9
FSTL3	INHBA
HDAC1	CCND1
PRKCZ	AKT2
SRPK2	CDC42EP4
LAMA1	LAMB2
TP53	SMAD3
STK11	H2AFX
DUSP3	FGF7
EGFR	RASA1
HSPA8	TRAF2
YEATS4	PTGR2
CTNNAL1	RNF135
SUZ12	THRAP3
FOXQ1	ANAPC7
PRKACA	TAL1
TP53	ARID1A
ELAVL1	PPP1CB
CUL4A	HSPA9
TADA2A	CTNNB1
HSPBP1	PGLYRP1
ING4	TRIM56
APC	NFE2L2
CDKN1B	CDK6
FOS	FOS
ING3	BRD8
RHOG	MCF2
DSP	PRKACG
XPO1	XPO1
NEK6	TRIM54
HNRNPK	PIK3R1
REST	HDAC2
LEO1	SUPT4H1
PITX1	PLA2G10
TAF10	SAP130
HRAS	TP53
RNF8	UBE2D1
GRB2	UACA
CBLC	EGFR
LCP1	MCF2
MCM2	RBM3
LRP6	GSK3B
BMI1	UPF1
NCBP2	RBM22
KIFC3	KIFC3
HMGB1	RIF1
PRKCA	ACTA1
RPS19	RPS26
STX1A	SERP1
ACOX1	SOD2
ATXN7L3	TAF10
LSR	YWHAH
SHC1	HSP90AB1
POLA1	PURA
DVL2	ITCH
CAND1	HIST4H4
VCAM1	ENO1
PPP5C	HSP90AA1
VCP	APPL1
PFDN5	SNAI1
H2AFX	EYA3
MAP3K10	DYRK2
SASH3	APP
CCKBR	CCKBR
PTPRU	IRS1
YES1	DTX3
GPS2	TRIM68
ZW10	APP
HSP90AA1	EIF3E
PGAM1	GLO1
CAND1	RBM4
DCN	FN1
CARD11	CCND1
ITSN1	SOS2
EGLN1	SPRY2
MTOR	FKBP8
JAG1	NOTCH2
ATM	SOCS1
BECN1	BECN1
OBSL1	HSP90B1
HSP90AB1	VIM
CLN3	PHB
PRAME	RPS13
STRN	MAP4K4
ELAVL1	NPM1
PIAS1	DNMT3B
CAND1	KPNA2
ATP5PB	NDUFS2
STK4	STK4
EPAS1	SSBP3
RPA1	AKAP8
LMNA	SMARCA5
ANXA6	HSP90AB1
RNF2	POGZ
GRB2	PIK3R1
WDR5	HIST4H4
SCYL2	RPS14
TAF5L	MSH2
PSMD14	HSPA1A
LIMK1	SSH1
GOPC	DR1
CBX8	CUL4A
CUL1	WDR5
NQO1	NFE2L2
CDKN1C	CCNE2
FKBP1A	TGFB1I1
PRKCD	ELAVL1
AGO3	RUVBL2
NTMT1	DDB2
ING4	EP300
VSIG4	SGPL1
CUL3	XRCC5
WBP4	CPSF6
FOS	POU2F1
ZFY	KAT14
SNRNP70	NUDT21
NCOA3	CARM1
DVL3	PRPF31
UBE2N	VPS33B
SKI	ATP5F1B
CD81	HNRNPA1
NRF1	CSNK2A1
RAB11B	SERPINB5
CFTR	RACK1
RYK	MAPK1
YAP1	AKT1
ELAVL1	SEPTIN11
HNRNPK	PRKCD
MDM4	NBN
DDB1	MAP3K3
RASSF1	CUL1
MAPRE1	SPTBN1
CLK2	UBE2I
PRKDC	SRP54
BIK	INSIG2
SRRT	PPM1G
SOS1	BCR
FOXP1	TWNK
ITGAV	TGFB3
FMNL1	FLNB
RPA2	TPM2
EGFR	RET
HUWE1	PSMC5
EFNA1	EPHA4
TNIK	PPP1R13B
TEAD2	CDC27
RBBP6	HP
THOC1	SAP30BP
SNX1	NASP
BRMS1	SNAI1
NR1I2	PSMC5
VAPA	RPS26
ARID1A	MTA2
HDAC5	SF3B1
TUBB	NFKBIA
SFTPD	DCN
KDM5B	HDAC1
TNFRSF21	TRADD
SREBF1	SP1
IGBP1	MID1
SF3A1	SSBP1
UBE2I	SETDB1
XPO1	SQSTM1
GHR	CISH
MAP3K7	HSP90AA1
ILK	RICTOR
LAMC1	LAMA5
HBA2	HBA2
PTPRR	MAPK14
PAK2	STAT1
MAP3K12	MAPK8IP2
TUBB	TRAF6
SRSF10	HNRNPU
MAD2L1	BUB3
SMAD7	COPS5
PICK1	MORF4L1
CDKN2A	DEAF1
EP300	ZFPM2
NFKBIA	NFKB2
TRAF3	RBM14
UROD	VIM
NPM1	RTCB
ARRB1	HIST2H4A
MOV10	XRCC6
NDEL1	CDC42
CAND1	SRSF6
SNTA1	AGTR2
RAB5C	HAUS5
TJP1	ACTN4
LATS2	PPP2R1A
HOXB5	CCNY
ALS2CL	RAB5A
VHL	EPHA4
FOXJ1	GRB2
AKT2	PTPN1
ATXN1	UBE2E1
ARHGAP1	RUVBL2
RSRC1	YWHAG
EPAS1	SUMO1
ST3GAL3	ACTG1
PIK3R3	FGB
CDK7	RRM2
CCND1	NRF1
SYK	PIP5K1B
HSP90AA1	SGK3
APOH	LRP2
CALM2	MAP3K14
KLHL20	PICALM
FLT1	YES1
RNF14	TCF3
NLRP2	BECN1
UBE2I	NR1I2
SMAD5	HGS
LATS1	PTEN
CHUK	TP73
NFKB2	RPS3A
IL16	CALCOCO2
PLCG1	SLC23A1
SIRT7	PRPF6
NR3C1	NR3C1
TEAD2	HUWE1
RCC1	VRK1
PPARD	BCL6
ITGB1	LGALS1
PML	NCOR2
CUL1	KPNA2
USP4	USP4
PARK7	UBE2I
APP	USF2
RNF7	SKP2
HDAC5	ATP2A2
NCAPG	POLB
ACVRL1	ACVR2A
RBPMS	STRBP
MAP3K14	TRAF2
RALA	RAB34
ATXN1	SF1
TUBB	PHB2
AR	CCNH
SMAD5	PNKP
TP73	PIAS1
MAPK9	ARRB2
RNF2	CDH1
BMI1	PHF5A
DNMT3B	SIRT1
SHC1	ELP1
MAP3K11	SCNN1B
ZRANB1	HERC2
EED	NFIB
SF3A1	SRSF9
TRAF6	BAG6
VASP	SAT1
ACTR5	DICER1
PIM1	HSP90AA1
HDAC9	HDAC9
RPS6KB1	URI1
WWOX	MDM2
VHL	VHL
IKBKG	RHOA
DVL3	PPP2CA
MYC	ADNP
PRKCB	NUMB
ELAVL1	NEDD4L
SMARCA4	RBBP4
DYRK2	HSPA8
MSH3	RPA1
GAB1	PTPRB
KMT5A	HIST4H4
PAXIP1	HNRNPLL
MAD2L2	CHAMP1
TGFBR2	PIK3R2
EYA2	POGZ
MAEA	PIK3R2
CEP250	RPS19
TADA3	RXRA
DAPK3	STX1A
TCF3	CBFA2T3
CSNK2A1	TARDBP
CTCF	YBX1
TOPBP1	ERCC2
ITCH	PCBP2
CENPJ	YWHAB
WRN	FEN1
ATR	RAD17
FOXE1	MECP2
PSMA2	U2AF2
HNRNPU	RTCB
STRAP	SMURF1
SMAD3	SS18L1
CUL3	SKP1
RUVBL2	PABPC1
TAF1	TAF2
GTF2A2	GTF2A2
PTPRU	PTPRU
BCL11A	APP
VCP	HIF1A
TRAF2	TRAF4
BRD7	HIST2H4B
VDR	EP300
EED	SMC3
ANAPC11	UBE2S
EP300	ASCL1
SENP1	APP
RAC1	IQGAP3
THOC1	MOAP1
TBCD	XRCC6
CEP57	ATP5F1C
ATXN7	SIAH1
RBMX	SRSF1
PPP2CB	MAP7
NUDT21	SART1
CXXC1	KMT2A
TANK	HSPA5
CLTC	SOAT1
RELA	SMAD4
RPS6KA5	ITSN1
ERBB2	KPNB1
AKT1	EEF1G
MEIS1	PBX1
AQP5	PRKACA
SNX6	SNX6
TP73	KDM1A
APOE	ELAVL1
MSN	SLC9A3R1
APOH	NFE2L2
MAP2K1	TRIB3
CTNNB1	CHUK
RRAGB	LAMTOR3
ENO1	TNS3
NR1H3	PSMC5
EDNRA	EDN1
GRB2	TNFRSF1A
HDAC5	HIST1H4H
TRIM23	ARF6
AKT2	RAC1
REL	EXOSC5
TRIAP1	HSPA4
CARD9	CDK5RAP2
SUMO2	ATF7IP
NEDD4	FLT4
PFDN5	CALCOCO2
TANK	TRAF3
NUMB	APP
PPP1CC	PRKACA
NFKB2	GLG1
EED	SMPD4
GSK3B	HSP90AA1
PCNA	POLE4
BAG3	IKBKG
LOX	LOX
SNRNP70	APP
SIN3B	MTA2
TRIM4	PRDX1
SMARCC2	TOP2B
SUZ12	AFG3L2
COPS5	ILK
CAT	PRDX1
GIGYF2	U2AF2
SNIP1	RBM22
BRCA1	MRE11
RB1	RBBP7
CDK2	PRDX6
ATP2A2	NOTCH2
TRPC1	TRPC6
ACD	XRCC6
FBXW11	CUL1
NPM1	JADE3
CDKN2A	NPM1
TP53	RBM3
TLE2	BARHL1
UBE2D2	TRAF7
PLOD1	NCDN
CUL3	RHOA
HTRA2	HTRA2
CDK7	PPP1CA
ELAVL1	TUBB
TNIK	TRMT112
LRP2	GIPC1
FN1	UBQLN1
ATP5F1D	ATP6V0D1
UBE3A	KRT9
U2AF2	CPSF3
CUL4B	HNRNPK
MIEF1	DNM1L
VCAM1	HNRNPU
MCC	EZR
NRP2	NRP2
CDK5	RPE
SNX8	MSH3
ALDH1A3	ALDOA
PARP1	CDK1
ADAM10	MAD2L1
BRD7	HIST1H4C
ITCH	PABPC1
CALM1	CASP8AP2
TLE5	TRIP6
HSPA8	TRAF6
HSPA4	RELA
MED30	MED21
KMT5A	KMT2C
CALCOCO2	CREB1
MAPK3	STAT3
CUL3	ACIN1
OXA1L	TOMM40
TRAP1	SRSF1
FBXO6	PLXNB2
CTNNB1	AR
TRAF6	CD81
RBBP7	EED
USP9X	RICTOR
SRSF6	SF1
FHOD1	ACTA1
ERBB2	SYK
RBM8A	NCBP2
EGFR	PTPRB
DDB1	HSPA5
CDT1	CDC23
UBE2I	NCOR2
DDX5	SRRT
TP53	PIAS1
EIF2B2	NMT1
EIF4E	EIF3A
CDKN1A	NTN4
ARHGEF10L	ANXA9
ABCA2	CDK5RAP2
VDR	MED21
ILK	PRKAR1A
VAPA	FNDC3A
MAGOH	YBX1
HDAC11	PHIP
ACTN1	TXN
GTF2F1	CTDSP1
PDGFRB	PIK3R1
RAF1	COPS5
MSH6	ATM
NSD3	SS18L1
SCARB2	THBS1
S100A4	SMAD2
TADA2A	MED1
BAZ2A	GRB2
ENO1	SUPT5H
TAF6L	TRRAP
MAP3K7	KAT2A
SORT1	UACA
NEDD4	BMPR1A
SMAD3	NCOA3
EMD	SMARCC1
DDB2	AR
APBA1	LIN7A
DYNC1LI1	XRCC6
SLITRK1	YWHAB
AGO2	EZH2
JAK2	PPP2R5A
CDC73	RRAGA
ANAPC4	FZR1
SMARCC1	HDAC3
SIRT7	LONP1
HIF1A	YAP1
MOV10	RIPK2
CLN5	SLC25A13
RBX1	MTSS1
LRRK2	TPM1
WWOX	RBMX
CIRBP	NCBP2
EMD	STX1A
MAP3K10	KIF3B
RBFOX2	DEDD2
AKT1	RNF11
RBBP5	DDB1
EGFR	MPV17
HGS	TNRC6A
SERPINH1	VDAC3
G6PD	H6PD
TP53	SENP1
UBE2D3	STK25
RNF2	ATP5PO
CREBBP	SP1
SEH1L	SLX4
SRC	PLD2
RNF4	TERF2
MAD2L1	CDC16
MED13	MED24
VCAM1	FLNB
FLNA	RHOA
PABPC1	SRRT
TP53	TXNIP
DHX9	RPS26
ATXN7	TAF7
ZIC1	LITAF
RAD50	ATM
WWOX	OTUD7B
VHL	RPS27L
TRIP6	VCL
CDKN2A	BRCA1
HSPA8	VIM
CPSF1	PPP1CB
EZH2	DNMT3B
TSC2	TSC1
UBE2I	PML
CDK2	CDK2
NME1	STRAP
MOV10	SNX1
JUN	CEBPB
AHSA1	HNRNPK
FANCD2	BLM
TERF1	TERF1
EGFR	HNRNPH1
POT1	YWHAG
ZGPAT	MTA2
USP22	TADA3
TERF2	TNKS
CEP152	CENPJ
HDAC1	HIST1H4J
MEF2A	USF2
PARP2	BUB3
NABP1	AGGF1
DDX5	SNRNP200
FOXO4	XPO1
ATL3	EEF1G
BCL2L10	BCL2L11
NR2F1	SP1
TNFRSF1B	CALM1
XPO1	TBL1XR1
TXNDC17	SORBS3
PPARG	JUND
CDK2	SYN1
DHX9	RBM25
PYGO2	DDB1
DHCR7	RPS15A
VDR	TP53
CDK12	THOC5
RPA1	HNRNPH1
TADA2A	TAF10
SRPK1	MAPK14
ZWINT	TMEM126A
HCLS1	SSBP3
JUN	CSNK2A1
JUN	GTF2F1
VASP	WWP2
NFKB2	MEN1
L3MBTL1	HIST1H4B
CUL3	PCID2
LYN	PIK3R3
KDM5B	KDM1A
MSH2	SRSF10
BRCA1	STRN
CASP3	STK4
NF1	DNAJC7
CCDC88A	ANXA1
RAC1	RPS6KB1
ABL2	MDM2
EED	GRN
PEX7	KDM1A
BTRC	GOPC
SRC	RASGRF1
DBN1	CD59
SREBF1	ID3
TNFRSF1A	HIST1H4D
OBSL1	LMNA
EEA1	NSF
TPM2	TPM2
ARHGEF4	RPS3
DHX9	GRB2
TLE5	MORF4L1
AHI1	DNM2
UBA6	EIF4A3
XRCC5	SAMHD1
SNW1	HSPA5
AMOT	LIN7A
CHD7	MTA2
ALDH8A1	APP
HSP90AA1	PHB
SRPK1	SON
DMAP1	PCNA
YEATS4	MTOR
LMNA	ROCK2
ATP5PB	TSG101
PES1	WDR12
TNPO3	ACTR3
ZDHHC17	EVL
IRF1	KAT2B
APTX	PICK1
LUC7L3	THOC7
CDK2	CDK1
PRPF31	SNRNP70
BIK	5-Mar
RPS14	EIF2A
MYC	MSH2
MYO10	CALM3
HDAC2	SIN3A
SRSF1	TRA2B
RAD23A	ADRM1
CAND1	PES1
UBE3A	EID1
ACADM	PRDX2
LMNA	SMAD3
UPF2	ZFP36
SNIP1	TRA2A
ACAA2	PGD
CUL3	HCFC1
GTPBP4	EIF4A3
PLAU	PRKCA
PSMC3	KDM1A
CD81	HNRNPU
CLU	TGFBR1
JAK1	EHMT1
HUWE1	DDX1
SIRT6	RBBP7
DHX9	MAP3K1
TP53	LIMA1
CREB3	SLC39A1
RAB7A	RAB4A
P2RY12	TTYH3
EDNRA	BCL2L11
SPRY2	UBASH3A
CALCOCO2	RHPN1
NCAPG	PLEC
PPP1CB	SSH2
MCM2	HSPA9
NDFIP2	WWP2
CSNK2A1	FGF2
FN1	RTCB
AR	TAB2
BRMS1	HSP90AA1
CNTN1	PTPRB
VDAC3	TOMM40
CYP1B1	HSD17B2
NCBP2	THOC6
CAPRIN1	SFPQ
NCOA2	CHUK
SHC1	APP
CDK2	POLE
CSNK2A1	MAPK9
BAG3	CRYAB
STK4	ANXA1
PIK3R3	ABCB6
TSC22D3	HDAC2
CHUK	RAB5A
EXOSC9	EXOSC9
CARD10	CARD9
FHL2	PFKM
UBE2M	UBE2M
DAPK3	DAPK3
CUL1	EZH2
FBXW11	NFKB1
PRKCB	RB1
RAP1B	DICER1
HDAC2	SMC1A
NR3C1	RBM14
CREB1	CSNK2A1
DDX5	YWHAG
HDAC3	CCT5
VEZF1	ZRANB1
YES1	YES1
SIRT1	TPM4
UPF1	EIF4E
PPARD	PPARD
BRCA1	JUN
GSK3A	EIF2B5
PRPS1	CDK5RAP2
BRCA1	ACTG1
RIF1	BOC
CEP250	HNRNPH1
GRB10	APP
MYC	SAP130
HUWE1	CTNNB1
BIRC2	UBE2Q2
EZH2	POLA2
MCL1	MEF2D
POU2F1	STAT5B
PTPRS	PFN2
ELAVL1	EIF2S1
IKBKG	SLU7
JAK3	DECR1
CDC37	DNAJB1
MYLK	PRKACA
FERMT3	PRDX5
RBM15	SART1
PPP1CC	SMG6
ELAVL1	ACACB
JUN	MAFB
SQSTM1	HDAC6
CREB3	CYSLTR1
CUL3	SLC25A22
ANAPC7	ANAPC7
CDK6	N4BP1
CDC42	TP53
ARRB1	HNRNPK
PTEN	GSTM2
TCF4	CDC37
NOTCH1	CDC27
TAF5L	TRRAP
EPS15	NCK1
TSG101	RAB11FIP3
TIRAP	CAMK2G
CENPE	CUL1
HIST1H4A	DAXX
MCL1	VDAC1
CDC42	STX3
ILK	TIMM50
RNF8	ERCC1
SF1	RBM4
PIAS4	SNIP1
AGO4	EMD
USP11	BUB3
HNRNPK	RBM8A
HDAC5	RUVBL2
BMP4	BMP4
RACK1	EIF3E
ELAVL1	GRB10
ITPR1	BRCA1
CTBP1	CTNNA1
EPHA3	EFNA1
TINF2	TAF1
